model,scope,rank,cutoff,domain,class_count,truth_images_in_retained_classes,accepted_predictions_in_retained_classes,report_images,overall_coverage,accuracy,precision,recall,f1
onnx-tta,optimized,genus,20,per_model,167,46689,36678,52788,0.7768621656437069,0.9858135534806919,0.9793611223358237,0.7753668121612188,0.8562508653962664
onnx-tta,optimized,genus,20,common,151,45179,35925,52788,0.7768621656437069,0.9886423026181744,0.9809467702797179,0.792676399490679,0.8692708237591562
v2,optimized,family,0,per_model,22,52786,40877,52788,0.7744373721300295,0.9963653352691595,0.9560780057797795,0.6760540010869929,0.7735267153680251
v2,optimized,family,0,common,22,52786,40877,52788,0.7744373721300295,0.9963653352691595,0.9560780057797795,0.6760540010869929,0.7735267153680251
torch,optimized,family,0,per_model,22,52786,38535,52788,0.7305827081912556,0.9932547854813464,0.9762352614742195,0.6832121844236498,0.7919257036079034
torch,optimized,family,0,common,22,52786,38535,52788,0.7305827081912556,0.9932547854813464,0.9762352614742195,0.6832121844236498,0.7919257036079034
onnx,optimized,family,0,per_model,22,52786,38641,52788,0.7325907403197697,0.9932599551447033,0.9762464326229743,0.6846193516228278,0.793047168620814
onnx,optimized,family,0,common,22,52786,38641,52788,0.7325907403197697,0.9932599551447033,0.9762464326229743,0.6846193516228278,0.793047168620814
torch-tta,optimized,family,0,per_model,22,52786,41543,52788,0.7874327498673941,0.9955823574240963,0.9746511312798972,0.7319846152154214,0.8280771248604737
torch-tta,optimized,family,0,common,22,52786,41543,52788,0.7874327498673941,0.9955823574240963,0.9746511312798972,0.7319846152154214,0.8280771248604737
onnx-tta,optimized,family,0,per_model,22,52786,41399,52788,0.7846859134651815,0.9955854528269081,0.9748005661767682,0.7304295789928673,0.8270581606098827
onnx-tta,optimized,family,0,common,22,52786,41399,52788,0.7846859134651815,0.9955854528269081,0.9748005661767682,0.7304295789928673,0.8270581606098827
v2,optimized,family,5,per_model,19,52770,40869,52788,0.7744373721300295,0.9957914408379742,0.9859850593239553,0.6876576692748175,0.802095261069409
v2,optimized,family,5,common,19,52770,40869,52788,0.7744373721300295,0.9957914408379742,0.9859850593239553,0.6876576692748175,0.802095261069409
torch,optimized,family,5,per_model,19,52770,38530,52788,0.7305827081912556,0.99218975160998,0.9900267939876928,0.7040432580775865,0.816089411195116
torch,optimized,family,5,common,19,52770,38530,52788,0.7305827081912556,0.99218975160998,0.9900267939876928,0.7040432580775865,0.816089411195116
onnx,optimized,family,5,per_model,19,52770,38636,52788,0.7325907403197697,0.9921957375359722,0.9900397290020405,0.7056726095713715,0.817387949631118
onnx,optimized,family,5,common,19,52770,38636,52788,0.7325907403197697,0.9921957375359722,0.9900397290020405,0.7056726095713715,0.817387949631118
torch-tta,optimized,family,5,per_model,19,52770,41536,52788,0.7874327498673941,0.9948848349121117,0.9917013099030386,0.7564680159984232,0.8535629866805483
torch-tta,optimized,family,5,common,19,52770,41536,52788,0.7874327498673941,0.9948848349121117,0.9917013099030386,0.7564680159984232,0.8535629866805483
onnx-tta,optimized,family,5,per_model,19,52770,41392,52788,0.7846859134651815,0.9948884190627355,0.9918743397836266,0.754667447740729,0.852383133337759
onnx-tta,optimized,family,5,common,19,52770,41392,52788,0.7846859134651815,0.9948884190627355,0.9918743397836266,0.754667447740729,0.852383133337759
v2,optimized,family,10,per_model,19,52770,40869,52788,0.7744373721300295,0.9957914408379742,0.9859850593239553,0.6876576692748175,0.802095261069409
v2,optimized,family,10,common,19,52770,40869,52788,0.7744373721300295,0.9957914408379742,0.9859850593239553,0.6876576692748175,0.802095261069409
torch,optimized,family,10,per_model,19,52770,38530,52788,0.7305827081912556,0.99218975160998,0.9900267939876928,0.7040432580775865,0.816089411195116
torch,optimized,family,10,common,19,52770,38530,52788,0.7305827081912556,0.99218975160998,0.9900267939876928,0.7040432580775865,0.816089411195116
onnx,optimized,family,10,per_model,19,52770,38636,52788,0.7325907403197697,0.9921957375359722,0.9900397290020405,0.7056726095713715,0.817387949631118
onnx,optimized,family,10,common,19,52770,38636,52788,0.7325907403197697,0.9921957375359722,0.9900397290020405,0.7056726095713715,0.817387949631118
torch-tta,optimized,family,10,per_model,19,52770,41536,52788,0.7874327498673941,0.9948848349121117,0.9917013099030386,0.7564680159984232,0.8535629866805483
torch-tta,optimized,family,10,common,19,52770,41536,52788,0.7874327498673941,0.9948848349121117,0.9917013099030386,0.7564680159984232,0.8535629866805483
onnx-tta,optimized,family,10,per_model,19,52770,41392,52788,0.7846859134651815,0.9948884190627355,0.9918743397836266,0.754667447740729,0.852383133337759
onnx-tta,optimized,family,10,common,19,52770,41392,52788,0.7846859134651815,0.9948884190627355,0.9918743397836266,0.754667447740729,0.852383133337759
v2,optimized,family,20,per_model,15,52686,40812,52788,0.7744373721300295,0.9946691583947672,0.9978777258613801,0.6871044763195309,0.8073961361904209
v2,optimized,family,20,common,15,52686,40812,52788,0.7744373721300295,0.9946691583947672,0.9978777258613801,0.6871044763195309,0.8073961361904209
torch,optimized,family,20,per_model,15,52686,38470,52788,0.7305827081912556,0.9967736853726413,0.99662653164367,0.6975420951522447,0.8137962822635084
torch,optimized,family,20,common,15,52686,38470,52788,0.7305827081912556,0.9967736853726413,0.99662653164367,0.6975420951522447,0.8137962822635084
onnx,optimized,family,20,per_model,15,52686,38576,52788,0.7325907403197697,0.9967812675455647,0.9966429159951768,0.6996059403777053,0.8154410976157777
onnx,optimized,family,20,common,15,52686,38576,52788,0.7325907403197697,0.9967812675455647,0.9966429159951768,0.6996059403777053,0.8154410976157777
torch-tta,optimized,family,20,per_model,15,52686,41473,52788,0.7874327498673941,0.9970295628184992,0.997949864338721,0.7536293282011772,0.8548063047552162
torch-tta,optimized,family,20,common,15,52686,41473,52788,0.7874327498673941,0.9970295628184992,0.997949864338721,0.7536293282011772,0.8548063047552162
onnx-tta,optimized,family,20,per_model,15,52686,41329,52788,0.7846859134651815,0.9970341027426228,0.9981690355207987,0.751348608408098,0.8533118238543494
onnx-tta,optimized,family,20,common,15,52686,41329,52788,0.7846859134651815,0.9970341027426228,0.9981690355207987,0.751348608408098,0.8533118238543494
