model,scope,threshold,family_id,family,truth_images,accepted_predictions,precision,precision_weight,recall,recall_weight,f1,f1_weight
torch,optimized,0.970800906419754,9717,Nolidae,191,145,1.0,1.0,0.7591623036649214,1.0,0.863095238095238,1.0
torch,common_0.96,0.96,3528,Incurvariidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,3530,Lasiocampidae,728,387,1.0,1.0,0.5315934065934066,1.0,0.694170403587444,1.0
torch,common_0.96,0.96,3552,Ethmiidae,48,41,1.0,1.0,0.8541666666666666,1.0,0.9213483146067415,1.0
torch,common_0.96,0.96,3553,Gelechiidae,2,1,0.0,1.0,0.0,1.0,0.0,1.0
torch,common_0.96,0.96,3554,Glyphipterigidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,3556,Hepialidae,14,12,1.0,1.0,0.8571428571428571,1.0,0.9230769230769229,1.0
torch,common_0.96,0.96,3563,Endromidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,4300664,Autostichidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,4300668,Peleopodidae,24,19,0.9473684210526315,1.0,0.75,1.0,0.8372093023255814,1.0
torch,common_0.96,0.96,4525436,Praydidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,4525465,Argyresthiidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,4527533,Stathmopodidae,2,1,1.0,1.0,0.5,1.0,0.6666666666666666,1.0
torch,common_0.96,0.96,4528997,Lypusidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,4532185,Erebidae,15241,11634,0.9990544954443872,1.0,0.7626140017059249,1.0,0.8649674418604651,1.0
torch,common_0.96,0.96,4538,Adelidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,4542,Alucitidae,1,1,1.0,1.0,1.0,1.0,1.0,1.0
torch,common_0.96,0.96,4554,Batrachedridae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,4705755,Depressariidae,0,1,0.0,1.0,,0,0.0,1.0
torch,common_0.96,0.96,4864,Bedelliidae,0,24,0.0,1.0,,0,0.0,1.0
torch,common_0.96,0.96,4865,Blastobasidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,4867,Bucculatricidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,4870,Choreutidae,0,3,0.0,1.0,,0,0.0,1.0
torch,common_0.96,0.96,5320,Douglasiidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,5336,Pyralidae,365,269,0.9888475836431226,1.0,0.7287671232876712,1.0,0.8391167192429022,1.0
torch,common_0.96,0.96,5340,Sesiidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,5343,Tortricidae,632,468,0.9829059829059829,1.0,0.7278481012658228,1.0,0.8363636363636364,1.0
torch,common_0.96,0.96,5345,Ypsolophidae,46,27,1.0,1.0,0.5869565217391305,1.0,0.7397260273972603,1.0
torch,common_0.96,0.96,5474,Limacodidae,475,217,0.9953917050691244,1.0,0.45473684210526316,1.0,0.624277456647399,1.0
torch,common_0.96,0.96,5481,Pieridae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,5487,Gracillariidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,6166,Opostegidae,0,2,0.0,1.0,,0,0.0,1.0
torch,common_0.96,0.96,6946,Eriocraniidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,6950,Geometridae,15047,12469,0.9987970166011709,1.0,0.8276732903568818,1.0,0.9052187817996801,1.0
torch,common_0.96,0.96,6954,Epermeniidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,7014,Nepticulidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,7015,Noctuidae,9243,6525,0.9983141762452107,1.0,0.7047495401925782,1.0,0.8262303399289701,1.0
torch,common_0.96,0.96,7016,Notodontidae,3321,2661,0.9984968057121383,1.0,0.8000602228244504,1.0,0.8883316616516214,1.0
torch,common_0.96,0.96,7017,Nymphalidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,7294,Drepanidae,1604,1140,0.9982456140350877,1.0,0.7094763092269327,1.0,0.8294460641399417,1.0
torch,common_0.96,0.96,7297,Elachistidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,8838,Coleophoridae,0,2,0.0,1.0,,0,0.0,1.0
torch,common_0.96,0.96,8839,Cosmopterigidae,0,0,1.0,0.0,,0,1.0,0.0
torch,common_0.96,0.96,8840,Cossidae,0,1,0.0,1.0,,0,0.0,1.0
torch,common_0.96,0.96,8841,Crambidae,4542,2550,0.9988235294117647,1.0,0.5607661822985469,1.0,0.7182741116751269,1.0
torch,common_0.96,0.96,8855,Momphidae,0,0,1.0,0.0,,0,1.0,0.0
