model,scope,rank,cutoff,domain,class_count,truth_images_in_retained_classes,accepted_predictions_in_retained_classes,report_images,overall_coverage,accuracy,precision,recall,f1
torch-tta,zero,genus,5,common,248,58439,50561,58640,1.0,0.8647931230280309,0.8362014055707858,0.8647931230280309,0.8302836995872716
onnx-tta,zero,genus,5,per_model,250,58457,50578,58640,1.0,0.8628009595373644,0.8366096008903584,0.8628009595373644,0.8293435494948899
onnx-tta,zero,genus,5,common,248,58439,50566,58640,1.0,0.8648195156626658,0.8359639793921624,0.8648195156626658,0.830127426046116
v2,zero,genus,10,per_model,225,58236,49619,58640,1.0,0.8252783249476032,0.8350504050502193,0.8252783249476032,0.808013110047685
v2,zero,genus,10,common,222,58195,49570,58640,1.0,0.824807504370962,0.83600915965762,0.824807504370962,0.8081287197161677
torch,zero,genus,10,per_model,229,58287,49484,58640,1.0,0.8393961784927966,0.8310502469637352,0.8393961784927966,0.8162838077724298
torch,zero,genus,10,common,222,58195,49396,58640,1.0,0.8435690095177734,0.8357508875265129,0.8435690095177734,0.8203775192436712
onnx,zero,genus,10,per_model,229,58287,49488,58640,1.0,0.8394539373899418,0.8304974781117134,0.8394539373899418,0.8159503793944154
onnx,zero,genus,10,common,222,58195,49400,58640,1.0,0.8436285896414052,0.8351806890260037,0.8436285896414052,0.820033577358242
torch-tta,zero,genus,10,per_model,227,58252,50242,58640,1.0,0.872971488300815,0.8617786609173839,0.872971488300815,0.8511810260087067
torch-tta,zero,genus,10,common,222,58195,50177,58640,1.0,0.8708612365358183,0.8620785961078308,0.8708612365358183,0.8500270973391464
onnx-tta,zero,genus,10,per_model,227,58252,50248,58640,1.0,0.8730003225448212,0.8614328920388118,0.8730003225448212,0.8509289670806535
onnx-tta,zero,genus,10,common,222,58195,50183,58640,1.0,0.8708907201997347,0.8617250396419035,0.8708907201997347,0.849769361408209
v2,zero,genus,20,per_model,186,57097,48695,58640,1.0,0.8426420260480435,0.8630959679849289,0.8426420260480435,0.8367937129642364
