model,rank,scope,threshold,accuracy,precision,recall,f1,micro_accuracy,theilU,coverage
v2,species,report_zero,0,0.6856229575537315,0.2795792585422393,0.6856229575537315,0.2619881841444527,0.6871258619383193,0.9268446802176634,1.0
v2,genus,report_zero,0,0.7893807671430488,0.3234152967366764,0.7893807671430488,0.3212885858575979,0.792225505796772,0.9293295014713818,1.0
v2,family,report_zero,0,0.8435038466784595,0.2610923881260793,0.8435038466784595,0.2696839814067278,0.9454610896415853,0.8669636504107465,1.0
v2,species,report_optimized,0.7484260499477386,0.8465208024160925,0.6381169943670084,0.5418132969389368,0.44667552768137514,0.8340124966041836,0.9268446802176634,0.6973175721754944
v2,genus,report_optimized,0.8759860098361969,0.9533632911945014,0.784792371905105,0.6176629588211429,0.5868633065886132,0.9258405014517136,0.9293295014713818,0.6981321512464954
v2,family,report_optimized,0.9553309082984924,0.9963653352691595,0.841348645086206,0.6466603488658192,0.6545226053114057,0.9986057092536875,0.8669636504107465,0.7744373721300295
v2,species,known_zero,0,0.7073027348676835,0.28480672905864074,0.7073027348676835,0.2693143628906898,0.7963467111618512,0.9292730961939166,1.0
v2,genus,known_zero,0,0.7918398972587593,0.32348654616668093,0.7918398972587593,0.32179539408479596,0.7922405137628583,0.9293424074794282,1.0
v2,family,known_zero,0,0.8435038466784595,0.2610923881260793,0.8435038466784595,0.2696839814067278,0.9454610896415853,0.8669636504107465,1.0
v2,species,known_optimized,0.7484260499477386,0.8766863543952852,0.6554069382956795,0.5589457332057807,0.46704984507862823,0.9549286136427261,0.9292730961939166,0.7058268200579608
v2,genus,known_optimized,0.8759860098361969,0.9565841131242125,0.7849689255774214,0.6195871424934829,0.588501193813758,0.9258656246608054,0.9293424074794282,0.6981264326444011
v2,family,known_optimized,0.9553309082984924,0.9963653352691595,0.841348645086206,0.6466603488658192,0.6545226053114057,0.9986057092536875,0.8669636504107465,0.7744373721300295
v2,species,calibration_zero,0,0.7234356272559329,0.44773205659042525,0.7234356272559329,0.3992460838711431,0.6871155160628845,0.9495520172149795,1.0
v2,genus,calibration_zero,0,0.8174898444279297,0.4838679824327559,0.8174898444279297,0.4620410630676452,0.7928913192071086,0.9531896899689808,1.0
v2,family,calibration_zero,0,0.8654342469799546,0.4026920030783285,0.8654342469799546,0.4117679180319759,0.9401913875598086,0.8647477723749251,1.0
v2,species,calibration_optimized,0.7484260499477386,0.888343995217596,0.807502621527049,0.5796937024197353,0.5456887340622165,0.8309273305603132,0.9495520172149795,0.6983937115516062
v2,genus,calibration_optimized,0.8759860098361969,0.9732206219933451,0.9203715569385426,0.6560626942847588,0.6840498465459532,0.9286062378167641,0.9531896899689808,0.7012987012987013
v2,family,calibration_optimized,0.9553309082984924,0.9998907975137955,0.9981361769132305,0.7033521890103556,0.7994593831472765,0.9995597622716267,0.8647477723749251,0.7763157894736842
torch,species,report_zero,0,0.7135646156794592,0.2688723997356787,0.7135646156794592,0.2592869317361528,0.7077555505039024,0.9292211983468999,1.0
torch,genus,report_zero,0,0.8053026558890463,0.3221313136590869,0.8053026558890463,0.32303518958457,0.7939683261347276,0.9278616328176507,1.0
torch,family,report_zero,0,0.8104767092433202,0.2753352445359579,0.8104767092433202,0.2804941988278224,0.9298325376979617,0.8486962980431905,1.0
torch,species,report_optimized,0.8099595010280609,0.8669405316273155,0.7028135267405738,0.5774611074285403,0.5081384528044555,0.8338193199753886,0.9292211983468999,0.7081344244904145
torch,genus,report_optimized,0.82109534740448,0.9547996220084877,0.745381822803767,0.678410498949023,0.6019267109931725,0.9077246242716747,0.9278616328176507,0.7575395923315905
torch,family,report_optimized,0.970800906419754,0.9932547854813464,0.74059226732527,0.6535073068400129,0.5807455159791289,0.997951563553389,0.8486962980431905,0.7305827081912556
torch,species,known_zero,0,0.7361279236851337,0.2738542317578795,0.7361279236851337,0.26625840334333606,0.8202555545797839,0.9324282979117112,1.0
torch,genus,known_zero,0,0.8078113869042769,0.32216140875960464,0.8078113869042769,0.3235133592367779,0.7939833671169038,0.9278762362942725,1.0
torch,family,known_zero,0,0.8104767092433202,0.2753352445359579,0.8104767092433202,0.2804941988278224,0.9298325376979617,0.8486962980431905,1.0
torch,species,known_optimized,0.8099595010280609,0.8950879514853453,0.7274246435276156,0.5957207471891266,0.536222132076529,0.969125054412039,0.9324282979117112,0.7061122332484412
torch,genus,known_optimized,0.82109534740448,0.9579612101608337,0.7455458647985177,0.6805239272946587,0.6035241537526418,0.9077473241972592,0.9278762362942725,0.7575349991475174
torch,family,known_optimized,0.970800906419754,0.9932547854813464,0.74059226732527,0.6535073068400129,0.5807455159791289,0.997951563553389,0.8486962980431905,0.7305827081912556
torch,species,calibration_zero,0,0.7431928073366078,0.44283216408639003,0.7431928073366078,0.4024595628388436,0.7084757347915243,0.954259253906316,1.0
torch,genus,calibration_zero,0,0.8356042367797194,0.47899556907578955,0.8356042367797194,0.4663674702082115,0.7911825017088175,0.9534771364475659,1.0
torch,family,calibration_zero,0,0.8492252662006303,0.3398730861115349,0.8492252662006303,0.34745500035047533,0.9284005468215994,0.8586883764262561,1.0
torch,species,calibration_optimized,0.8099595010280609,0.9087050351179481,0.8482813983760845,0.6176015410523515,0.601488158405302,0.8334935127342624,0.954259253906316,0.7112098427887902
torch,genus,calibration_optimized,0.82109534740448,0.973462276709025,0.8843100424805983,0.7189420501301624,0.7145410434590399,0.9085598741855763,0.9534771364475659,0.7605946684894054
torch,family,calibration_optimized,0.970800906419754,0.9994922429367045,0.9029309874313405,0.7032656378963092,0.7261852919766372,0.9974648536529154,0.8586883764262561,0.741455912508544
onnx,species,report_zero,0,0.7133861511997317,0.2689411284200973,0.7133861511997317,0.25936240461341,0.7078123816018792,0.9291859354966914,1.0
onnx,genus,report_zero,0,0.8053599793321786,0.32303901654923844,0.8053599793321786,0.32445203101159487,0.793949382435402,0.9278774326101347,1.0
onnx,family,report_zero,0,0.8106325437578626,0.2756918885388057,0.8106325437578626,0.28088792323657213,0.9300409183905433,0.8489407553438706,1.0
onnx,species,report_optimized,0.8161613345146179,0.8695378035260483,0.7088741319668206,0.5752968296743217,0.5099648536812272,0.8345029711489339,0.9291859354966914,0.7045351216185497
onnx,genus,report_optimized,0.8301631808280945,0.9551874761942367,0.7523387061411551,0.6745698413302063,0.6043210367725153,0.908581339231852,0.9278774326101347,0.7536561339698417
onnx,family,report_optimized,0.9698503911495209,0.9932599551447033,0.7406007419898425,0.6548532928566179,0.5815679236552638,0.9979571783202317,0.8489407553438706,0.7325907403197697
onnx,species,known_zero,0,0.7359438160598023,0.27389983335544515,0.7359438160598023,0.266315326129971,0.8203214191622025,0.9323702972359517,1.0
onnx,genus,known_zero,0,0.8078688889251138,0.3230691966641643,0.8078688889251138,0.32493422231455543,0.7939644230587076,0.9278920368877236,1.0
onnx,family,known_zero,0,0.8106325437578626,0.2756918885388057,0.8106325437578626,0.28088792323657213,0.9300409183905433,0.8489407553438706,1.0
onnx,species,known_optimized,0.8161613345146179,0.8978307906255943,0.7337958308449367,0.5934880337746956,0.5382986298299348,0.9697840827422429,0.9323702972359517,0.7026214103802582
onnx,genus,known_optimized,0.8301631808280945,0.958350348631966,0.752504050056499,0.6766713050103627,0.6059367197707097,0.9086041776638263,0.9278920368877236,0.7536514672173072
onnx,family,known_optimized,0.9698503911495209,0.9932599551447033,0.7406007419898425,0.6548532928566179,0.5815679236552638,0.9979571783202317,0.8489407553438706,0.7325907403197697
onnx,species,calibration_zero,0,0.7430789391063041,0.4435113545221054,0.7430789391063041,0.40300238516178827,0.7081339712918661,0.954116113510863,1.0
onnx,genus,calibration_zero,0,0.8315920980901614,0.4756659977776627,0.8315920980901614,0.46306039720704983,0.7906698564593302,0.953655537431556,1.0
onnx,family,calibration_zero,0,0.8491264519713813,0.3394307665358129,0.8491264519713813,0.3471036479087719,0.9282296650717703,0.8580508752393747,1.0
onnx,species,calibration_optimized,0.8161613345146179,0.9122749701335368,0.8510626577154353,0.6156853061930037,0.6018573695717253,0.8340569223347805,0.954116113510863,0.7084757347915243
onnx,genus,calibration_optimized,0.8301631808280945,0.973864726625716,0.8845032192436618,0.7124031638615914,0.7095377082146889,0.9093990058743787,0.953655537431556,0.7563226247436774
onnx,family,calibration_optimized,0.9698503911495209,0.9994937740250923,0.9029315347725212,0.7039240888934983,0.7266095397411778,0.9974718455527465,0.8580508752393747,0.7435064935064936
torch-tta,species,report_zero,0,0.7405864004487995,0.3117281910150932,0.7405864004487995,0.3001398043754676,0.7321360915359552,0.9416287278244636,1.0
torch-tta,genus,report_zero,0,0.8312879946116835,0.3578921081808225,0.8312879946116835,0.3600905137263135,0.8163029476396151,0.9429697597956094,1.0
torch-tta,family,report_zero,0,0.8579010503993526,0.2856847483669441,0.8579010503993526,0.29704414021357817,0.9478669394559369,0.8802152497213216,1.0
torch-tta,species,report_optimized,0.7392672300338745,0.8659206758370823,0.6694908268387498,0.639254202340642,0.5238581475082266,0.8257020535519919,0.9416287278244636,0.7831893612184587
torch-tta,genus,report_optimized,0.869922012090683,0.9627590640417357,0.8166841617561862,0.7031449724257084,0.6655108425187298,0.9116055761356989,0.9429697597956094,0.7772978707281958
torch-tta,family,report_optimized,0.964760661125183,0.9955823574240963,0.7393905133847496,0.700159197162577,0.6072565582310141,0.998243799167609,0.8802152497213216,0.7874327498673941
torch-tta,species,known_zero,0,0.764004152241647,0.3188318073270972,0.764004152241647,0.3101697044824459,0.8485114604373408,0.9441781207808398,1.0
torch-tta,genus,known_zero,0,0.833877676837888,0.35795084878232625,0.833877676837888,0.3606630257586462,0.8163184117301608,0.9429838194118607,1.0
torch-tta,family,known_zero,0,0.8579010503993526,0.2856847483669441,0.8579010503993526,0.29704414021357817,0.9478669394559369,0.8802152497213216,1.0
torch-tta,species,known_optimized,0.7392672300338745,0.8932655392845691,0.6940179671454589,0.6594677739561563,0.5535005846842079,0.9623646820027063,0.9441781207808398,0.7787828225169052
torch-tta,genus,known_optimized,0.869922012090683,0.9659260346471361,0.8168602180942144,0.7053354552058507,0.6673916212438911,0.9116277936194584,0.9429838194118607,0.7772936518460984
