variant,preset,scope,rank,images,accuracy,precision,recall,f1,micro_accuracy,theilU,coverage
MAMBO v2,north_europe,all,species,58640,0.6852063621352951,0.2742104381019442,0.6852063621352951,0.25753800338546967,0.68712482946794,0.9259639612074944,1.0
MAMBO v2,north_europe,all,genus,58640,0.7890053947525617,0.3188818859364664,0.7890053947525617,0.3169285074452811,0.7922919508867667,0.9286450152404832,1.0
MAMBO v2,north_europe,all,family,58640,0.8440271040813301,0.26007435892237385,0.8440271040813301,0.2691037692533918,0.9449351978171896,0.865726913911594,1.0
MAMBO v2,north_europe,known,species,50598,0.706872966471589,0.27934832747314936,0.706872966471589,0.26468747200295195,0.7963358235503379,0.9284675700829689,1.0
MAMBO v2,north_europe,known,genus,58639,0.7914633554838781,0.3189462554934523,0.7914633554838781,0.3174198331740771,0.7923054622350313,0.9286569914847851,1.0
MAMBO v2,north_europe,known,family,58640,0.8440271040813301,0.26007435892237385,0.8440271040813301,0.2691037692533918,0.9449351978171896,0.865726913911594,1.0
MAMBO v2,europe,all,species,58640,0.6604260262269301,0.220093475997043,0.6604260262269301,0.19998360830548284,0.669594133697135,0.9298644970123321,1.0
MAMBO v2,europe,all,genus,58640,0.7728971632770847,0.26145460355851485,0.7728971632770847,0.25527668172822016,0.7764495225102319,0.9304037751304223,1.0
MAMBO v2,europe,all,family,58640,0.8353711166095457,0.24311183116521895,0.8353711166095457,0.2512650593074731,0.9423090040927694,0.858730608498533,1.0
MAMBO v2,europe,known,species,50598,0.6813090626293627,0.22455003199982063,0.6813090626293627,0.20496609487323514,0.7760188149729238,0.9324736395684865,1.0
MAMBO v2,europe,known,genus,58640,0.7728971632770847,0.26145460355851485,0.7728971632770847,0.25527668172822016,0.7764495225102319,0.9304037751304223,1.0
MAMBO v2,europe,known,family,58640,0.8353711166095457,0.24311183116521895,0.8353711166095457,0.2512650593074731,0.9423090040927694,0.858730608498533,1.0
MAMBO v2,full,all,species,58640,0.5720627970250876,0.1100618404698789,0.5720627970250876,0.08990868448899282,0.5936050477489768,0.9424989337241723,1.0
MAMBO v2,full,all,genus,58640,0.7168278641037727,0.1327201662316462,0.7168278641037727,0.12210675669894289,0.7285129604365621,0.9364867523141058,1.0
MAMBO v2,full,all,family,58640,0.8069699178640561,0.19682625488877242,0.8069699178640561,0.20522430973656694,0.9265006821282401,0.8320049778627998,1.0
MAMBO v2,full,known,species,50598,0.5901517392235093,0.11296990063684895,0.5901517392235093,0.09231932892005533,0.6879520929681016,0.9472050810666933,1.0
MAMBO v2,full,known,genus,58640,0.7168278641037727,0.1327201662316462,0.7168278641037727,0.12210675669894289,0.7285129604365621,0.9364867523141058,1.0
MAMBO v2,full,known,family,58640,0.8069699178640561,0.19682625488877242,0.8069699178640561,0.20522430973656694,0.9265006821282401,0.8320049778627998,1.0
V3 FP32 reference,north_europe,all,species,58640,0.7123671759291879,0.26361186496219735,0.7123671759291879,0.25450880594788156,0.7078956343792633,0.9282973331913745,1.0
V3 FP32 reference,north_europe,all,genus,58640,0.8054070319557569,0.31882230287858776,0.8054070319557569,0.3207725301986971,0.7936732605729877,0.927078119536916,1.0
V3 FP32 reference,north_europe,all,family,58640,0.8106383132501974,0.27544229106153234,0.8106383132501974,0.2805840235220709,0.9298090040927695,0.8488942298912809,1.0
