environment_id,variant,device,trial,preset,batch_size,images,images_per_second,seconds
j-12402286-job-0,torch,cpu,trial-0-torch-cpu,full,8,1024,34.04237830107543,"[30.104328206041828, 29.858235927997157, 30.08015453396365]"
j-12402286-job-0,torch,cpu,trial-0-torch-cpu,north_europe,8,1024,33.76846736338423,"[30.324147938983515, 30.27414759597741, 30.42432832112536]"
j-12402286-job-0,onnx,cpu,trial-0-onnx-cpu,full,8,1024,36.823971100312555,"[28.11732700583525, 27.807973159942776, 27.415707787964493]"
j-12402286-job-0,onnx,cpu,trial-0-onnx-cpu,north_europe,8,1024,39.83486966086653,"[26.015997915994376, 25.70612151408568, 25.70504664396867]"
j-12402286-job-0,torch-tta,cpu,trial-0-torch-tta-cpu,full,8,1024,11.528776720330582,"[87.47479516896419, 91.94617670285515, 88.82121883705258]"
j-12402286-job-0,torch-tta,cpu,trial-0-torch-tta-cpu,north_europe,8,1024,11.597935503144953,"[88.08198932395317, 91.0903279799968, 88.29157566209324]"
j-12402286-job-0,onnx-tta,cpu,trial-0-onnx-tta-cpu,full,8,1024,13.112669940257966,"[80.34720183187164, 76.71521435119212, 78.09241021587513]"
j-12402286-job-0,onnx-tta,cpu,trial-0-onnx-tta-cpu,north_europe,8,1024,13.27009582554481,"[76.73085354687646, 77.16598383779638, 78.50553843402304]"
j-12402286-job-0,torch,cuda:0,trial-0-torch-cuda-0,full,256,1024,640.1449324127675,"[1.715137304039672, 1.5996377510018647, 1.453258153051138]"
j-12402286-job-0,torch,cuda:0,trial-0-torch-cuda-0,north_europe,256,1024,673.265728397876,"[1.5714211959857494, 1.462558472994715, 1.5209447871893644]"
j-12402286-job-0,onnx,cuda:0,trial-0-onnx-cuda-0,full,256,1024,597.5332456895293,"[1.7360637581441551, 1.6371290409006178, 1.713712178170681]"
j-12402286-job-0,onnx,cuda:0,trial-0-onnx-cuda-0,north_europe,256,1024,605.545513577582,"[1.7592463069595397, 1.5975160330999643, 1.6910372169222683]"
j-12402286-job-0,torch-tta,cuda:0,trial-0-torch-tta-cuda-0,full,256,1024,198.6388734870403,"[5.8052552349399775, 4.933058385970071, 5.155083604855463]"
j-12402286-job-0,torch-tta,cuda:0,trial-0-torch-tta-cuda-0,north_europe,256,1024,204.0579378060664,"[5.018182634841651, 5.161591398064047, 4.959914960898459]"
j-12402286-job-0,onnx-tta,cuda:0,trial-0-onnx-tta-cuda-0,full,256,1024,203.2502389535636,"[5.038124458165839, 5.011830616975203, 5.688519447110593]"
j-12402286-job-0,onnx-tta,cuda:0,trial-0-onnx-tta-cuda-0,north_europe,256,1024,200.95524826672832,"[5.0116610820405185, 5.095661889063194, 5.30839680810459]"
j-12402286-job-0,onnx-tta,cpu,trial-1-onnx-tta-cpu,full,8,1024,12.45846871420143,"[82.94655893812887, 82.1930867661722, 80.58071889891289]"
j-12402286-job-0,onnx-tta,cpu,trial-1-onnx-tta-cpu,north_europe,8,1024,13.154451338979724,"[77.8443717348855, 78.10592608293518, 76.9228190148715]"
j-12402286-job-0,torch-tta,cpu,trial-1-torch-tta-cpu,full,8,1024,11.796456440349788,"[87.78689663484693, 86.26503587304614, 86.80572892189957]"
j-12402286-job-0,torch-tta,cpu,trial-1-torch-tta-cpu,north_europe,8,1024,11.927875241130472,"[85.84932180284522, 86.64871792611666, 85.50610742717981]"
j-12402286-job-0,onnx,cpu,trial-1-onnx-cpu,full,8,1024,36.7664823775916,"[27.401659866794944, 27.906167353037745, 27.851454199058935]"
j-12402286-job-0,onnx,cpu,trial-1-onnx-cpu,north_europe,8,1024,37.27682596375597,"[27.463112919824198, 27.470149979926646, 27.61266869190149]"
j-12402286-job-0,torch,cpu,trial-1-torch-cpu,full,8,1024,34.13436588072897,"[29.999092515092343, 28.876937593100592, 30.756536277011037]"
j-12402286-job-0,torch,cpu,trial-1-torch-cpu,north_europe,8,1024,35.825671462891485,"[28.5828557619825, 28.79824579693377, 28.507902273908257]"
j-12402286-job-0,onnx-tta,cuda:0,trial-1-onnx-tta-cuda-0,full,256,1024,172.91579640944386,"[5.92195751494728, 5.623914316063747, 5.9630442429333925]"
j-12402286-job-0,onnx-tta,cuda:0,trial-1-onnx-tta-cuda-0,north_europe,256,1024,179.717056857759,"[5.754108743974939, 5.637985749868676, 5.697845368180424]"
j-12402286-job-0,torch-tta,cuda:0,trial-1-torch-tta-cuda-0,full,256,1024,187.80079185498832,"[6.130035428097472, 5.452586167957634, 5.228225806960836]"
j-12402286-job-0,torch-tta,cuda:0,trial-1-torch-tta-cuda-0,north_europe,256,1024,198.12210776240224,"[5.097536427201703, 5.374059800058603, 5.168529709102586]"
j-12402286-job-0,onnx,cuda:0,trial-1-onnx-cuda-0,full,256,1024,548.3844976335021,"[1.9139710620511323, 1.867302967933938, 1.8485038930084556]"
j-12402286-job-0,onnx,cuda:0,trial-1-onnx-cuda-0,north_europe,256,1024,583.7695669243686,"[1.751705561997369, 1.7930034210439771, 1.7541167919989675]"
